freelancer_id,ability_score,age,years_experience,education_level,city,category,profile_completeness,num_skills,portfolio_items,certifications,total_jobs,success_rate,response_rate,market_demand_score,treatment_propensity,program_participation,hourly_earnings,profile_text
EGY_00001,0.4967141530112327,23.359442632290232,2.5972474252744124,Some College,Suez,Content Writing,74.12453572455465,6,0,1,10,80.83706695594773,53.84271110477974,0.5782397764220687,0.5557520310423631,0,20.838308461206665,"I am a content writer with three years of experience. I provide high-quality articles, blog posts, and website content. I have experience in SEO writing and crafting engaging copy for various industries. I can help with your content needs, delivering well-researched and clear text. I am proficient in using tools like Grammarly and familiar with basic keyword research techniques. I ensure timely delivery and clear communication to meet your project goals."
EGY_00002,-0.13826430117118466,21.346170890700808,0.5033897232393185,Some College,Giza,UI/UX Design,43.811323741052625,7,7,0,21,58.75237748397684,87.21624920558921,0.9377274386508468,0.2575871667376723,0,23.80531013162326,"I am a UI/UX Designer from Giza with 1 year of experience. I provide user-centered design solutions for digital products. I have experience in user research, wireframing, and prototyping. My main tool is Figma. I can help with creating intuitive and effective user interfaces that meet project requirements. My goal is to deliver clear and functional designs that improve user experience. I am reliable and committed to providing high-quality work to my clients."
EGY_00003,0.6476885381006925,38.365767985396374,12.857809812076184,Bachelor's Degree,Mansoura,Translation,66.43230990972297,9,9,0,85,68.98920425249742,33.55961743273571,0.6875590760652408,0.8615257234251572,1,34.37226169725595,"I am a professional translator from Mansoura with 13 years of experience. I provide clear and accurate translation services. I have experience in translating documents between English, Arabic, and French. I can help with general texts, legal documents, and marketing materials. My toolkit includes CAT software like Trados. I focus on delivering reliable translations efficiently. I am committed to meeting project deadlines and client needs."
EGY_00004,1.5230298564080254,40.60722324758083,16.24523484059479,Master's Degree,Luxor,Administrative Support,67.1186314445274,13,9,1,99,98.11934793976819,100.0,0.45846077437129445,0.9397626776214626,1,37.65103314786579,"As a top 1% Administrative Support expert from Luxor, I don't merely execute tasks; I architect strategic solutions, leveraging a data-driven approach to optimize complex operations and ensure peak organizational efficiency. My expertise consistently delivers measurable impact, as demonstrated by meticulously streamlining workflows that reduced operational costs by 25% and implementing sophisticated systems that increased conversions by 40%. I proficiently integrate Lean Six Sigma principles and foster robust cross-functional collaboration, excelling in strategic stakeholder management to facilitate seamless project execution and proactive problem-solving. For enterprise clients tackling complex, scalable projects, I provide ROI-driven administrative leadership, meticulously ensuring objectives are met and consistently delivering measurable impact that drives sustainable growth."
EGY_00005,-0.23415337472333597,19.010756634420545,0.0,Master's Degree,Giza,Graphic Design,32.92733492770262,3,1,0,25,58.45361896925808,45.29466953247789,0.8233453466604802,0.19622385860966665,1,18.95169922247578,"I am a graphic designer based in Giza, committed to providing clear and effective visual solutions. I offer services including logo design, branding, and social media graphics. I have experience in industry-standard tools like Adobe Photoshop, Illustrator, and InDesign. I can help clients translate their ideas into professional and visually appealing designs. My focus is on delivering high-quality work that meets project requirements and deadlines. I am reliable and eager to collaborate on new creative projects."
EGY_00006,-0.23413695694918055,47.95879187979807,18.205327286173677,Some College,El-Mahalla El-Kubra,Web Development,50.633889151168454,8,6,0,82,78.36378410407346,50.53238804239274,0.8378337994952483,0.6555836437046443,0,27.790793123641244,"I am a Web Development freelancer from El-Mahalla El-Kubra with 18 years of experience. I provide professional web development services. I have extensive experience in building and maintaining websites. I can help with various web projects, utilizing skills in JavaScript, PHP, and WordPress. My work focuses on creating functional and reliable web solutions. I ensure projects are completed to specifications. I am available to discuss your web development requirements and provide competent assistance."
EGY_00007,1.5792128155073915,19.663081076847117,0.6775830549749895,Bachelor's Degree,Ismailia,Accounting,80.0872262424462,8,3,0,14,82.68649150346447,59.88621231195147,0.3544744840908428,0.9260973823517735,0,34.913099293316215,"As a top 1% Accounting expert, I don't merely process financial data; I architect robust, scalable solutions that leverage deep analytical insights to optimize fiscal health and drive unparalleled ROI. My strategic, data-driven approach, grounded in comprehensive mastery of IFRS and GAAP, consistently delivers tangible value for enterprise clients navigating complex financial landscapes. For instance, I've spearheaded initiatives that streamlined intricate reporting processes, reducing reconciliation time by 30%, and identified strategic cost efficiencies, yielding up to a 15% increase in after-tax profitability through optimized tax structures. I excel in cross-functional collaboration and meticulous stakeholder management, translating intricate financial challenges into clear, actionable strategies. My commitment is to deliver measurable impact, ensuring your financial operations are not just compliant, but strategically positioned for exponential growth."
EGY_00008,0.7674347291529088,35.321482729634255,11.735569790681483,Some College,Alexandria,Customer Support,48.35266351403125,10,9,2,69,73.57987019738295,35.67599735448409,0.34456219208763994,0.5588089828640261,0,27.46618625979956,"I am a customer support freelancer based in Alexandria with 12 years of experience. I provide consistent and efficient customer support services. I have solid experience in managing customer inquiries, resolving issues, and maintaining clear communication. I can help with email support, live chat, and utilizing CRM tools like Zendesk. My focus is on delivering reliable assistance and ensuring positive interactions for your clients. I am dedicated to professional service."
EGY_00009,-0.4694743859349521,40.68993662242933,14.040355229932976,Bachelor's Degree,Giza,Video Editing,39.887301021888604,12,11,0,73,75.26386019308931,36.44035578847493,0.5332315345306777,0.5185579626790945,0,23.665907750770156,"I am a professional video editor based in Giza with 14 years of experience in the field. I provide comprehensive video editing services for corporate, promotional, and social media content. I have extensive experience using Adobe Premiere Pro, After Effects, and DaVinci Resolve. I can help transform your raw footage into polished, engaging videos that meet your specific project needs. My focus is on delivering high-quality, reliable results with clear communication throughout the process."
EGY_00010,0.5425600435859647,45.871011959874735,15.2186685124472,Some College,Alexandria,Web Development,70.14599026915853,10,11,0,105,76.46353199378326,51.02541574994475,0.9534302049730167,0.8252834663942317,1,44.11058785833279,"I am a Web Development freelancer based in Alexandria with 15 years of experience. I provide professional web development services to create and improve online platforms. I have extensive experience in building responsive websites, database integration, and working with technologies like PHP and JavaScript. I can help with developing new websites from scratch or updating existing applications to meet current standards. My focus is on delivering functional and reliable web solutions that align with client needs."
